Iteration;idlv_isd;isd_clasp;isd_wasp;idlv+clasp_isd;idlv+wasp_isd;idlv_isd_tot;clasp_isd_tot;wasp_isd_tot;idlv+clasp_isd_tot;idlv+wasp_isd_tot;idlv_noisd;noisd_clasp;noisd_wasp;idlv+clasp_noisd;idlv+wasp_noisd;idlv_noisd_tot;clasp_noisd_tot;wasp_noisd_tot;idlv+clasp_noisd_tot;idlv+wasp_noisd_tot;isd_vmrss_;noisd_vmrss_;isd_file_size;noisd_file_size;ticker_incr;ticker_clingo
39;0.001028;0.004681110382080078;0.016547441482543945;0.00570911038208008;0.0175754414825439;0.055492;0.204809665679932;0.398847103118896;0.260301665679932;0.454339103118896;0.001017;0.00507354736328125;0.014627695083618164;0.00609054736328125;0.0156446950836182;0.05434;0.246029853820801;0.571270227432251;0.300369853820801;0.625610227432251;8664;7868;82;101;5.451773546;29.618876379
40;0.001012;0.004762172698974609;0.011065959930419922;0.00577417269897461;0.0120779599304199;0.056504;0.209571838378906;0.409913063049316;0.266075838378906;0.466417063049316;0.000978;0.007226705551147461;0.016987085342407227;0.00820470555114746;0.0179650853424072;0.055318;0.253256559371948;0.588257312774658;0.308574559371948;0.643575312774658;8664;7868;82;101;5.460593134;30.502951894
41;0.001004;0.005832672119140625;0.012762069702148438;0.00683667211914062;0.0137660697021484;0.057508;0.215404510498047;0.422675132751465;0.272912510498047;0.480183132751465;0.001007;0.005616426467895508;0.01825571060180664;0.00662342646789551;0.0192627106018066;0.056325;0.258872985839844;0.606513023376465;0.315197985839844;0.662838023376465;8664;7868;82;101;5.473353083;31.373348067
42;0.000992;0.005762815475463867;0.012555837631225586;0.00675481547546387;0.0135478376312256;0.0585;0.221167325973511;0.43523097038269;0.279667325973511;0.49373097038269;0.001033;0.006247520446777344;0.0156400203704834;0.00728052044677734;0.0166730203704834;0.057358;0.265120506286621;0.622153043746948;0.322478506286621;0.679511043746948;8664;7868;82;101;5.49601185;32.247256774
43;0.001028;0.006865262985229492;0.014414310455322266;0.00789326298522949;0.0154423104553223;0.059528;0.22803258895874;0.449645280838013;0.28756058895874;0.509173280838013;0.001048;0.005056142807006836;0.01674818992614746;0.00610414280700684;0.0177961899261475;0.058406;0.270176649093628;0.638901233673096;0.328582649093628;0.697307233673096;8664;7868;82;101;5.506462165;33.136982414
44;0.001041;0.004853010177612305;0.011068582534790039;0.0058940101776123;0.01210958253479;0.060569;0.232885599136353;0.460713863372803;0.293454599136353;0.521282863372803;0.001024;0.006196498870849609;0.014597415924072266;0.00722049887084961;0.0156214159240723;0.05943;0.276373147964478;0.653498649597168;0.335803147964478;0.712928649597168;8664;7868;82;101;5.517972924;34.018237509
45;0.001032;0.007014036178588867;0.013266801834106445;0.00804603617858887;0.0142988018341064;0.061601;0.239899635314941;0.473980665206909;0.301500635314941;0.535581665206909;0.001023;0.008921384811401367;0.019620180130004883;0.00994438481140137;0.0206431801300049;0.060453;0.285294532775879;0.673118829727173;0.345747532775879;0.733571829727173;8664;7868;82;101;5.526997282;34.886345318
46;0.001023;0.00586700439453125;0.011698484420776367;0.00689000439453125;0.0127214844207764;0.062624;0.245766639709473;0.485679149627686;0.308390639709473;0.548303149627686;0.001014;0.005076408386230469;0.01473093032836914;0.00609040838623047;0.0157449303283691;0.061467;0.290370941162109;0.687849760055542;0.351837941162109;0.749316760055542;8664;7868;83;102;5.554678596;35.765265675
47;0.001005;0.004613637924194336;0.008817911148071289;0.00561863792419434;0.00982291114807129;0.063629;0.250380277633667;0.494497060775757;0.314009277633667;0.558126060775757;0.000986;0.00624847412109375;0.018375873565673828;0.00723447412109375;0.0193618735656738;0.062453;0.296619415283203;0.706225633621216;0.359072415283203;0.768678633621216;8664;7868;83;102;5.563592843;36.671809414
48;0.00098;0.005844593048095703;0.012933969497680664;0.0068245930480957;0.0139139694976807;0.064609;0.256224870681763;0.507431030273438;0.320833870681763;0.572040030273438;0.000985;0.005491495132446289;0.016581058502197266;0.00647649513244629;0.0175660585021973;0.063438;0.302110910415649;0.722806692123413;0.365548910415649;0.786244692123413;8664;7868;83;102;5.57341378;37.551637423
